segment_id,street,direction,length,observed_speed,predicted_speed,travel_time_minutes,estimated_co2,distance_score,time_score,emission_score,distance_focused_score,balanced_score,sustainability_focused_score
208,North,WB,0.5,18.0,21.2,1.41,104.6,0.3506,0.132,0.3177,0.2818,0.2654,0.2653
209,North,WB,0.5,26.0,23.6,1.27,104.6,0.3506,0.109,0.3177,0.2749,0.2576,0.2584
210,North,WB,0.28,19.0,19.3,0.87,58.6,0.0649,0.0452,0.0588,0.0584,0.0562,0.0553
9,Garfield,EB,0.72,34.0,25.7,1.68,150.6,0.6364,0.1742,0.5764,0.4917,0.4595,0.4618
10,Garfield,EB,0.27,26.0,26.8,0.6,56.5,0.0519,0.0029,0.0471,0.0367,0.0337,0.0343
14,55th,WB,0.5,27.0,29.4,1.02,104.6,0.3506,0.0695,0.3177,0.263,0.2442,0.2465
27,Pulaski,NB,1.0,23.0,21.7,2.76,209.2,1.0,0.3472,0.9059,0.7947,0.747,0.7477
37,Pulaski,NB,0.5,23.0,27.9,1.08,104.6,0.3506,0.078,0.3177,0.2655,0.2471,0.2491
38,Pulaski,NB,0.5,27.0,28.5,1.05,104.6,0.3506,0.0745,0.3177,0.2645,0.2459,0.248
39,Pulaski,NB,0.5,26.0,25.5,1.17,104.6,0.3506,0.0939,0.3177,0.2703,0.2525,0.2538
41,Pulaski,NB,0.62,26.0,23.9,1.56,129.7,0.5065,0.1548,0.4588,0.3962,0.3712,0.3724
42,Pulaski,NB,0.46,23.0,25.6,1.08,96.2,0.2987,0.0788,0.2706,0.2299,0.2146,0.2159
43,Pulaski,NB,0.24,27.0,22.9,0.63,50.2,0.013,0.007,0.0118,0.0111,0.0105,0.0104
44,Pulaski,NB,0.68,29.0,24.4,1.67,142.3,0.5844,0.1734,0.5294,0.4556,0.4265,0.4281
48,Pulaski,NB,0.5,18.0,26.9,1.11,104.6,0.3506,0.0841,0.3177,0.2674,0.2491,0.2509
49,Pulaski,NB,0.5,25.0,26.9,1.11,104.6,0.3506,0.0841,0.3177,0.2674,0.2491,0.2509
50,Pulaski,NB,0.5,26.0,27.4,1.09,104.6,0.3506,0.0809,0.3177,0.2664,0.2481,0.2499
51,Pulaski,NB,0.65,23.0,25.6,1.53,136.0,0.5455,0.1499,0.4941,0.4216,0.394,0.396
55,Pulaski,NB,0.5,23.0,26.2,1.15,104.6,0.3506,0.0894,0.3177,0.269,0.2509,0.2525
56,Pulaski,NB,0.5,27.0,28.6,1.05,104.6,0.3506,0.0739,0.3177,0.2643,0.2457,0.2478
57,Pulaski,NB,0.5,26.0,28.1,1.07,104.6,0.3506,0.077,0.3177,0.2653,0.2467,0.2488
67,Pulaski,SB,1.0,32.0,27.0,2.22,209.2,1.0,0.2608,0.9059,0.7688,0.7176,0.7217
81,Pulaski,SB,0.62,23.0,22.6,1.65,129.7,0.5065,0.1693,0.4588,0.4006,0.3761,0.3767
82,Pulaski,SB,0.46,24.0,23.5,1.17,96.2,0.2987,0.0938,0.2706,0.2344,0.2198,0.2204
